e:\ytison\documents\recherche\kalpha\mg-ionmtp-2015\bisb-brut\x-ray009 400um - fg  on\point 1 sb5bi5\avg\bi50sb50 electrode_v5.vms
C1s Scan
	Characteristic Energy eV	1486.68	Acquisition Time s	2.5
KE_C1s Scan	BE_C1s Scan	CPS_C1s Scan	C 1s_1_C1s Scan	C 1s_2_C1s Scan	C 1s_3_C1s Scan	C 1s_4_C1s Scan	C 1s_5_C1s Scan	C 1s_6_C1s Scan	C1s_7_C1s Scan	Background_C1s Scan	Envelope_C1s Scan
1188.6	298.08	1007.68	1007.68	1007.68	1007.68	1007.68	1007.68	1007.68	1007.68	1007.68	1007.68
1188.7	297.98	968.728	968.728	968.728	968.728	968.728	968.728	968.728	968.728	968.728	968.728
1188.8	297.88	996.008	996.008	996.008	996.008	996.008	996.008	996.008	996.008	996.008	996.008
1188.9	297.78	976.144	976.144	976.144	976.144	976.144	976.144	976.144	976.144	976.144	976.144
1189	297.68	971.276	971.276	971.276	971.276	971.276	971.276	971.276	971.276	971.276	971.276
1189.1	297.58	960.176	960.176	960.176	960.176	960.176	960.176	960.176	960.176	960.176	960.176
1189.2	297.48	961.012	961.012	961.012	961.012	961.012	961.012	961.012	961.012	961.012	961.012
1189.3	297.38	986.828	986.828	986.828	986.828	986.828	986.828	986.828	986.828	986.828	986.828
1189.4	297.28	940.696	940.696	940.696	940.696	940.696	940.696	940.696	940.696	940.696	940.696
1189.5	297.18	999.648	999.648	999.648	999.648	999.648	999.648	999.648	999.648	999.648	999.648
1189.6	297.08	933.072	933.072	933.072	933.072	933.072	933.072	933.072	933.072	933.072	933.072
1189.7	296.98	930.28	930.28	930.28	930.28	930.28	930.28	930.28	930.28	930.28	930.28
1189.8	296.88	929.928	929.928	929.928	929.928	929.928	929.928	929.928	929.928	929.928	929.928
1189.9	296.78	930.9	930.9	930.9	930.9	930.9	930.9	930.9	930.9	930.9	930.9
1190	296.68	908.248	908.248	908.248	908.248	908.248	908.248	908.248	908.248	908.248	908.248
1190.1	296.58	945.936	945.936	945.936	945.936	945.936	945.936	945.936	945.936	945.936	945.936
1190.2	296.48	938.048	938.048	938.048	938.048	938.048	938.048	938.048	938.048	938.048	938.048
1190.3	296.38	908.576	908.576	908.576	908.576	908.576	908.576	908.576	908.576	908.576	908.576
1190.4	296.28	916.364	916.364	916.364	916.364	916.364	916.364	916.364	916.364	916.364	916.364
1190.5	296.18	928.108	928.108	928.108	928.108	928.108	928.108	928.108	928.108	928.108	928.108
1190.6	296.08	916.412	916.412	916.412	916.412	916.412	916.412	916.412	916.412	916.412	916.412
1190.7	295.98	956.672	956.672	956.672	956.672	956.672	956.672	956.672	956.672	956.672	956.672
1190.8	295.88	912.524	912.524	912.524	912.524	912.524	912.524	912.524	912.524	912.524	912.524
1190.9	295.78	968.04	968.04	968.04	968.04	968.04	968.04	968.04	968.04	968.04	968.04
1191	295.68	915.548	915.548	915.548	915.548	915.548	915.548	915.548	915.548	915.548	915.548
1191.1	295.58	959.756	959.756	959.756	959.756	959.756	959.756	959.756	959.756	959.756	959.756
1191.2	295.48	899.236	899.236	899.236	899.236	899.236	899.236	899.236	899.236	899.236	899.236
1191.3	295.38	953.908	953.908	953.908	953.908	953.908	953.908	953.908	953.908	953.908	953.908
1191.4	295.28	971.96	971.96	971.96	971.96	971.96	971.96	971.96	971.96	971.96	971.96
1191.5	295.18	944.488	944.488	944.488	944.488	944.488	944.488	944.488	944.488	944.488	944.488
1191.6	295.08	948.028	948.028	948.028	948.029	948.028	948.028	948.028	948.028	948.028	948.029
1191.7	294.98	930.924	930.924	930.924	930.925	930.924	930.924	930.924	930.924	930.924	930.925
1191.8	294.88	963.896	963.896	963.896	963.898	963.896	963.896	963.896	963.896	963.896	963.898
1191.9	294.78	949.148	949.148	949.148	949.152	949.148	949.148	949.148	949.148	949.148	949.152
1192	294.68	992.784	992.784	992.784	992.791	992.784	992.784	992.784	992.784	992.784	992.791
1192.1	294.58	974.54	974.54	974.54	974.554	974.54	974.54	974.54	974.54	974.54	974.554
1192.2	294.48	969.916	969.916	969.916	969.941	969.916	969.916	969.916	969.916	969.916	969.941
1192.3	294.38	997.432	997.432	997.432	997.477	997.432	997.432	997.432	997.432	997.432	997.477
1192.4	294.28	1027.38	1027.38	1027.38	1027.46	1027.38	1027.38	1027.38	1027.38	1027.38	1027.46
1192.5	294.18	1014.71	1014.71	1014.71	1014.85	1014.71	1014.71	1014.71	1014.71	1014.71	1014.85
1192.6	294.08	1041.36	1041.36	1041.36	1041.6	1041.36	1041.36	1041.36	1041.36	1041.36	1041.6
1192.7	293.98	1011.4	1011.4	1011.4	1011.8	1011.4	1011.4	1011.4	1011.4	1011.4	1011.8
