e:\ytison\documents\recherche\kalpha\mg-ionmtp-2015\bisb-electrolyte\x-ray005 400um - fg  on\sb-electrolyte-1\avg\sb-electrodemouilleev2.vms
C1s Scan
	Characteristic Energy eV	1486.68	Acquisition Time s	2.5
KE_C1s Scan	BE_C1s Scan	CPS_C1s Scan	C 1s_1_C1s Scan	C 1s_2_C1s Scan	C 1s_3_C1s Scan	C 1s_4_C1s Scan	C 1s_5_C1s Scan	C1s_6_C1s Scan	C1s_7_C1s Scan	Background_C1s Scan	Envelope_C1s Scan
1188.6	298.08	865.44	865.44	865.44	865.44	865.44	865.44	865.44	865.44	865.44	865.44
1188.7	297.98	859.908	859.908	859.908	859.908	859.908	859.908	859.908	859.908	859.908	859.908
1188.8	297.88	898.676	898.676	898.676	898.676	898.676	898.676	898.676	898.676	898.676	898.676
1188.9	297.78	874.1	874.1	874.1	874.1	874.1	874.1	874.1	874.1	874.1	874.1
1189	297.68	871.148	871.148	871.148	871.148	871.148	871.148	871.148	871.148	871.148	871.148
1189.1	297.58	879.488	879.488	879.488	879.488	879.488	879.488	879.488	879.488	879.488	879.488
1189.2	297.48	859.076	859.076	859.076	859.076	859.076	859.076	859.076	859.076	859.076	859.076
1189.3	297.38	850.376	850.376	850.376	850.376	850.376	850.376	850.376	850.376	850.376	850.376
1189.4	297.28	864.168	864.168	864.168	864.168	864.168	864.168	864.168	864.168	864.168	864.168
1189.5	297.18	841.068	841.068	841.068	841.068	841.068	841.068	841.068	841.068	841.068	841.068
1189.6	297.08	841.004	841.004	841.004	841.004	841.004	841.004	841.004	841.004	841.004	841.004
1189.7	296.98	836.328	836.328	836.328	836.328	836.328	836.328	836.328	836.328	836.328	836.328
1189.8	296.88	854.58	854.58	854.58	854.58	854.58	854.58	854.58	854.58	854.58	854.58
1189.9	296.78	863.38	863.38	863.38	863.38	863.38	863.38	863.38	863.38	863.38	863.38
1190	296.68	842.628	842.628	842.628	842.628	842.628	842.628	842.628	842.628	842.628	842.628
1190.1	296.58	831.784	831.784	831.784	831.784	831.784	831.784	831.784	831.784	831.784	831.784
1190.2	296.48	827.316	827.316	827.316	827.316	827.316	827.316	827.316	827.316	827.316	827.316
1190.3	296.38	837.244	837.244	837.244	837.244	837.244	837.244	837.244	837.244	837.244	837.244
1190.4	296.28	842.04	842.04	842.04	842.04	842.04	842.04	842.04	842.04	842.04	842.04
1190.5	296.18	840.084	840.084	840.084	840.084	840.084	840.084	840.084	840.084	840.084	840.084
1190.6	296.08	813.304	813.304	813.304	813.304	813.304	813.304	813.304	813.304	813.304	813.304
1190.7	295.98	823.528	823.528	823.528	823.528	823.528	823.528	823.528	823.528	823.528	823.528
1190.8	295.88	843.076	843.076	843.076	843.076	843.076	843.076	843.076	843.076	843.076	843.076
1190.9	295.78	825.48	825.48	825.48	825.48	825.48	825.48	825.48	825.48	825.48	825.48
